size,mask_clean,mask_12,mask_13,mask_12-13,mask_14,mask_12-14,mask_19,mask_20,mask_21,mask_12-19,mask_12-20,mask_12-21
64,418,518,518,723,519,729,518,518,518,858,858,860
128,398,504,506,508,507,513,506,503,505,564,567,570
256,390,389,393,397,393,407,393,393,393,423,427,424
512,383,365,381,391,392,407,389,379,384,406,407,404
1024,381,384,389,392,387,394,389,386,389,394,396,389
2048,379,390,390,384,389,389,389,384,389,386,384,377
4096,383,382,387,382,388,386,387,382,387,382,386,369
8192,386,382,386,382,387,386,387,381,387,380,375,362
16384,386,383,387,383,388,394,387,382,388,377,371,357
20480,429,425,436,433,426,431,430,428,431,427,404,396
24576,478,474,474,480,481,478,475,472,474,471,439,418
28672,507,501,509,500,510,513,511,501,509,489,485,425
32768,531,523,531,521,528,536,538,531,534,515,480,442
36864,549,552,554,548,555,548,550,546,551,535,518,460
40960,567,564,568,564,566,571,570,564,571,546,507,472
45056,578,573,584,574,579,573,585,568,581,560,523,465
49152,589,588,588,583,589,587,590,585,589,569,533,468
53248,599,593,597,591,599,605,600,592,600,566,544,469
57344,606,604,609,604,607,605,607,606,609,572,531,475
61440,614,608,613,610,609,613,612,603,609,574,542,473
65536,618,614,613,609,620,602,618,615,614,581,549,488
262144,679,674,680,672,680,675,677,672,676,723,682,579
524288,688,682,689,682,687,686,685,681,686,750,721,584
786432,691,685,690,689,690,690,687,685,688,761,710,592
1048576,692,686,692,686,692,692,691,686,692,766,713,583
1310720,694,689,692,690,694,693,693,687,692,767,708,514
1572864,693,689,694,690,695,694,693,687,692,778,695,490
1835008,694,689,695,690,693,695,692,687,693,778,700,538
2097152,695,689,694,689,694,696,691,687,692,785,719,582
2359296,696,690,697,689,695,710,692,690,693,771,677,610
2621440,695,690,695,689,695,722,692,689,692,781,673,636
2883584,695,690,696,691,695,732,693,688,693,768,660,656
3145728,696,690,696,689,697,741,694,689,693,771,674,674
3407872,696,690,695,690,696,748,697,691,694,778,705,688
3670016,695,690,695,691,696,754,693,689,695,779,702,705
3932160,696,690,695,691,696,758,693,689,695,778,720,727
4194304,697,690,696,693,696,764,692,688,694,782,731,727
4194304,696,690,698,692,696,763,693,686,692,781,723,727
8388608,697,693,699,761,699,798,696,687,694,785,793,795
12582912,698,738,744,781,744,810,740,688,695,801,814,821
16777216,700,762,765,793,766,814,763,692,699,815,829,833
20971520,725,774,777,801,778,820,774,718,725,820,840,
25165824,743,783,786,806,789,821,785,736,740,830,838,
29360128,754,789,794,809,796,824,790,749,752,834,843,
33554432,766,793,799,810,799,826,796,760,761,834,849,
