size,mask_clean,mask_8,mask_9,mask_10,mask_11,mask_12,mask_13,mask_14,mask_15,mask_16,mask_17,mask_18,mask_19,mask_20,mask_21,mask_12-19
64,418,520,520,521,518,518,518,519,517,520,517,517,518,518,518,858
128,398,503,506,504,506,504,506,507,504,504,506,503,506,503,505,564
256,390,393,393,393,393,389,393,393,392,390,393,390,393,393,393,423
512,383,386,388,373,386,365,381,392,379,373,366,385,389,379,384,406
1024,381,385,377,384,390,384,389,387,389,384,390,391,389,386,389,394
2048,379,384,383,386,389,390,390,389,388,386,389,386,389,384,389,386
4096,383,389,384,384,389,382,387,388,385,383,387,382,387,382,387,382
8192,386,384,387,384,389,382,386,387,385,381,387,382,387,381,387,380
16384,386,384,387,384,389,383,387,388,386,386,387,382,387,382,388,377
20480,429,428,434,424,436,425,436,426,427,429,430,429,430,428,431,427
24576,478,473,477,470,483,474,474,481,474,475,477,473,475,472,474,471
28672,507,508,508,511,515,501,509,510,506,507,507,503,511,501,509,489
32768,531,530,539,532,536,523,531,528,529,528,539,525,538,531,534,515
36864,549,550,551,550,554,552,554,555,550,548,548,545,550,546,551,535
40960,567,564,568,565,572,564,568,566,564,566,566,565,570,564,571,546
45056,578,578,582,578,581,573,584,579,576,574,579,577,585,568,581,560
49152,589,587,596,589,591,588,588,589,587,586,588,585,590,585,589,569
53248,599,598,602,593,602,593,597,599,599,590,602,591,600,592,600,566
57344,606,602,605,605,608,604,609,607,605,602,605,602,607,606,609,572
61440,614,611,614,611,614,608,613,609,607,606,610,606,612,603,609,574
65536,618,615,621,613,620,614,613,620,620,612,619,614,618,615,614,581
262144,679,674,681,674,680,674,680,680,676,673,680,674,677,672,676,723
524288,688,690,690,683,689,682,689,687,684,682,685,680,685,681,686,750
786432,691,687,693,687,693,685,690,690,687,686,687,682,687,685,688,761
1048576,692,694,694,688,693,686,692,692,689,689,688,685,691,686,692,766
1310720,694,690,695,690,696,689,692,694,691,689,693,686,693,687,692,767
1572864,693,691,696,691,697,689,694,695,692,689,692,685,693,687,692,778
1835008,694,690,696,691,696,689,695,693,691,688,691,690,692,687,693,778
2097152,695,691,697,691,696,689,694,694,691,689,690,684,691,687,692,785
2359296,696,691,697,691,698,690,697,695,692,689,690,685,692,690,693,771
2621440,695,691,698,691,694,690,695,695,692,690,691,688,692,689,692,781
2883584,695,691,698,691,697,690,696,695,692,690,692,686,693,688,693,768
3145728,696,693,703,692,698,690,696,697,694,692,694,687,694,689,693,771
3407872,696,693,702,693,699,690,695,696,693,691,695,687,697,691,694,778
3670016,695,692,699,693,699,690,695,696,693,690,692,688,693,689,695,779
3932160,696,692,699,692,698,690,695,696,692,690,693,686,693,689,695,778
4194304,697,692,700,692,697,690,696,696,693,696,692,686,692,688,694,782
4194304,696,692,698,692,698,690,698,696,693,696,692,686,693,686,692,781
8388608,697,698,703,697,703,693,699,699,697,695,697,691,696,687,694,785
12582912,698,745,744,739,745,738,744,744,740,738,741,734,740,688,695,801
16777216,700,760,767,761,767,762,765,766,763,760,764,755,763,692,699,815
20971520,725,774,780,773,780,774,777,778,775,773,774,768,774,718,725,820
25165824,743,782,788,782,788,783,786,789,784,782,783,778,785,736,740,830
29360128,754,789,795,789,796,789,794,796,791,789,791,787,790,749,752,834
33554432,766,795,798,795,799,793,799,799,796,794,800,792,796,760,761,834
