Iteration,Latency
0,338
1000,264
2000,262
3000,264
4000,262
5000,284
6000,266
7000,266
8000,266
9000,284
10000,294
11000,260
12000,262
13000,286
14000,264
15000,266
16000,266
17000,280
18000,266
19000,282
20000,260
21000,264
22000,270
23000,276
24000,272
25000,282
26000,264
27000,262
28000,264
29000,294
30000,270
30782,122110
31000,282
32000,266
33000,266
34000,262
35000,266
36000,282
37000,260
38000,266
39000,266
40000,294
41000,280
42000,262
43000,264
44000,262
45000,298
46000,266
47000,282
48000,266
49000,270
50000,266
51000,270
52000,266
53000,282
54000,284
55000,264
56000,282
57000,262
58000,266
59000,270
60000,286
61000,266
62000,270
63000,266
64000,260
64688,114982
65000,266
66000,282
67000,296
68000,270
69000,266
70000,282
71000,270
72000,264
73000,282
74000,284
75000,286
76000,282
77000,280
78000,266
79000,262
80000,264
81000,284
82000,266
83000,290
84000,278
85000,266
86000,284
87000,278
88000,272
89000,284
90000,264
91000,278
92000,264
93000,284
93285,114844
94000,266
95000,282
96000,280
97000,264
98000,268
99000,268
100000,284
101000,264
102000,268
103000,260
104000,288
105000,262
106000,284
107000,278
108000,280
109000,264
110000,268
111000,268
112000,282
113000,258
114000,272
115000,262
116000,264
117000,264
118000,284
119000,264
120000,280
121000,260
122000,262
123000,266
124000,266
125000,264
126000,270
127000,262
128000,282
129000,266
130000,282
131000,266
132000,266
133000,266
134000,262
135000,264
136000,262
137000,268
138000,266
139000,284
140000,264
141000,266
142000,270
143000,280
144000,268
145000,278
146000,284
147000,294
148000,272
149000,266
150000,266
151000,264
152000,266
153000,266
154000,272
155000,260
156000,262
157000,266
158000,284
159000,280
160000,290
160310,119568
161000,262
162000,288
163000,270
164000,286
165000,282
166000,280
167000,270
168000,294
169000,282
170000,264
171000,264
172000,266
173000,266
174000,266
175000,266
176000,268
177000,264
178000,266
179000,264
180000,266
181000,266
182000,266
183000,264
184000,268
185000,268
186000,264
187000,264
188000,284
189000,258
190000,268
191000,260
192000,264
193000,294
194000,256
195000,284
196000,260
196622,113404
197000,284
198000,294
199000,286
200000,270
201000,282
202000,272
203000,260
204000,264
205000,284
206000,268
207000,260
208000,266
209000,262
210000,284
211000,264
212000,278
213000,282
214000,262
215000,280
216000,266
217000,266
218000,268
219000,264
220000,270
221000,264
222000,284
223000,264
224000,284
225000,266
226000,266
227000,264
228000,262
229000,284
230000,262
230716,114580
231000,266
232000,268
233000,266
234000,264
235000,284
236000,264
237000,264
238000,266
239000,262
240000,268
241000,282
242000,264
243000,282
244000,268
245000,264
246000,272
247000,262
248000,282
249000,270
250000,260
251000,266
252000,284
253000,282
254000,268
255000,266
256000,282
257000,264
258000,266
259000,264
260000,286
261000,266
262000,266
263000,280
264000,260
265000,282
265806,114242
266000,280
267000,288
268000,266
269000,264
270000,260
271000,266
272000,264
273000,258
274000,264
275000,272
276000,264
277000,286
278000,266
279000,288
280000,270
281000,260
282000,266
283000,262
284000,266
285000,282
286000,268
287000,266
288000,266
289000,266
290000,266
291000,282
292000,262
293000,278
294000,266
295000,266
296000,268
297000,286
298000,268
299000,280
300000,262
301000,266
302000,266
302334,114134
303000,282
304000,286
305000,268
306000,268
307000,268
308000,282
309000,296
310000,264
311000,288
312000,268
313000,270
314000,266
315000,262
316000,262
317000,260
318000,268
319000,266
320000,270
321000,258
322000,264
323000,264
324000,280
325000,282
326000,262
327000,280
328000,264
329000,262
330000,268
331000,268
332000,268
333000,266
334000,266
335000,280
336000,264
337000,268
338000,294
338701,113570
339000,288
340000,262
341000,294
342000,280
343000,282
344000,264
345000,260
346000,266
347000,280
348000,262
349000,276
350000,268
351000,266
352000,266
353000,266
354000,266
355000,264
356000,266
357000,262
358000,266
359000,266
360000,260
361000,286
362000,268
363000,262
364000,286
365000,286
366000,268
367000,262
368000,292
369000,262
370000,266
371000,286
372000,280
373000,282
373054,113672
374000,272
375000,254
376000,264
377000,260
378000,266
379000,264
380000,284
381000,268
382000,282
383000,270
384000,284
385000,268
386000,266
387000,260
388000,268
389000,286
390000,262
391000,260
392000,268
393000,264
394000,282
395000,286
396000,258
397000,278
398000,264
399000,286
400000,266
401000,282
402000,266
403000,268
404000,266
405000,262
406000,270
407000,266
408000,270
409000,264
409705,113782
410000,270
411000,264
412000,266
413000,268
414000,270
415000,262
416000,260
417000,282
418000,266
419000,262
420000,266
421000,262
422000,268
423000,264
424000,266
425000,268
426000,268
427000,260
428000,264
429000,268
430000,262
431000,260
432000,266
433000,266
434000,284
435000,270
436000,266
437000,262
438000,260
439000,284
440000,266
441000,268
442000,282
443000,278
444000,262
445000,264
446000,276
446366,113708
447000,262
448000,276
449000,264
450000,278
451000,266
452000,272
453000,266
454000,264
455000,294
456000,266
457000,280
458000,282
459000,286
460000,262
461000,280
462000,282
463000,278
464000,266
465000,266
466000,266
467000,282
468000,266
469000,276
470000,268
471000,270
472000,270
473000,270
474000,266
475000,260
476000,266
477000,262
478000,266
479000,282
480000,266
481000,268
481885,114066
482000,280
483000,282
484000,268
485000,260
486000,258
487000,266
488000,264
489000,262
490000,282
491000,264
492000,266
493000,264
494000,260
495000,268
496000,260
497000,266
498000,284
499000,282
